account_id,customer_id,account_number,branch_id,account_type
ACC20022026001,CUST20022026001,0011011001,BR101,Savings
ACC20022026002,CUST20022026002,0021041001,BR104,Savings
ACC20022026003,CUST20022026003,0031051001,BR105,Savings
ACC20022026004,CUST20022026004,0041051001,BR105,Current
ACC20022026005,CUST20022026005,0051051001,BR105,Current
ACC20022026006,CUST20022026006,0061051001,BR105,Savings
ACC20022026007,CUST20022026007,0071031001,BR103,Savings
ACC20022026008,CUST20022026008,0081051001,BR105,Savings
ACC20022026009,CUST20022026009,0091051001,BR105,Current
ACC20022026010,CUST20022026010,0101051001,BR105,Savings
ACC20022026011,CUST20022026011,0111021001,BR102,Current
ACC20022026012,CUST20022026012,0121021001,BR102,Current
ACC20022026013,CUST20022026013,0131051001,BR105,Savings
ACC20022026014,CUST20022026014,0141041001,BR104,Current
ACC20022026015,CUST20022026015,0151021001,BR102,Savings
ACC20022026016,CUST20022026016,0161021001,BR102,Savings
ACC20022026017,CUST20022026017,0171041001,BR104,Savings
ACC20022026018,CUST20022026018,0181031001,BR103,Current
ACC20022026019,CUST20022026019,0191031001,BR103,Current
ACC20022026020,CUST20022026020,0201021001,BR102,Current
ACC20022026021,CUST20022026021,0211041001,BR104,Savings
ACC20022026022,CUST20022026022,0221051001,BR105,Current
ACC20022026023,CUST20022026023,0231011001,BR101,Savings
ACC20022026024,CUST20022026024,0241021001,BR102,Savings
ACC20022026025,CUST20022026025,0251021001,BR102,Savings
ACC20022026026,CUST20022026026,0261021001,BR102,Savings
ACC20022026027,CUST20022026027,0271051001,BR105,Current
ACC20022026028,CUST20022026028,0281051001,BR105,Savings
ACC20022026029,CUST20022026029,0291051001,BR105,Savings
ACC20022026030,CUST20022026030,0301011001,BR101,Savings
ACC20022026031,CUST20022026031,0311031001,BR103,Savings
ACC20022026032,CUST20022026032,0321011001,BR101,Savings
ACC20022026033,CUST20022026033,0331031001,BR103,Savings
ACC20022026034,CUST20022026034,0341031001,BR103,Current
ACC20022026035,CUST20022026035,0351021001,BR102,Savings
ACC20022026036,CUST20022026036,0361011001,BR101,Current
ACC20022026037,CUST20022026037,0371011001,BR101,Savings
ACC20022026038,CUST20022026038,0381031001,BR103,Current
ACC20022026039,CUST20022026039,0391041001,BR104,Savings
ACC20022026040,CUST20022026040,0401041001,BR104,Savings
ACC20022026041,CUST20022026041,0411011001,BR101,Savings
ACC20022026042,CUST20022026042,0421011001,BR101,Savings
ACC20022026043,CUST20022026043,0431021001,BR102,Savings
ACC20022026044,CUST20022026044,0441031001,BR103,Savings
ACC20022026045,CUST20022026045,0451041001,BR104,Current
ACC20022026046,CUST20022026046,0461041001,BR104,Current
ACC20022026047,CUST20022026047,0471011001,BR101,Current
ACC20022026048,CUST20022026048,0481021001,BR102,Savings
ACC20022026049,CUST20022026049,0491051001,BR105,Savings
ACC20022026050,CUST20022026050,0501051001,BR105,Savings
ACC20022026051,CUST20022026051,0511031001,BR103,Current
ACC20022026052,CUST20022026052,0521021001,BR102,Savings
ACC20022026053,CUST20022026053,0531011001,BR101,Current
ACC20022026054,CUST20022026054,0541051001,BR105,Current
ACC20022026055,CUST20022026055,0551011001,BR101,Current
ACC20022026056,CUST20022026056,0561041001,BR104,Current
ACC20022026057,CUST20022026057,0571041001,BR104,Savings
ACC20022026058,CUST20022026058,0581051001,BR105,Current
ACC20022026059,CUST20022026059,0591051001,BR105,Savings
ACC20022026060,CUST20022026060,0601041001,BR104,Savings
ACC20022026061,CUST20022026061,0611041001,BR104,Savings
ACC20022026062,CUST20022026062,0621011001,BR101,Current
ACC20022026063,CUST20022026063,0631041001,BR104,Savings
ACC20022026064,CUST20022026064,0641031001,BR103,Current
ACC20022026065,CUST20022026065,0651021001,BR102,Current
ACC20022026066,CUST20022026066,0661021001,BR102,Savings
ACC20022026067,CUST20022026067,0671031001,BR103,Current
ACC20022026068,CUST20022026068,0681021001,BR102,Current
ACC20022026069,CUST20022026069,0691021001,BR102,Savings
ACC20022026070,CUST20022026070,0701021001,BR102,Savings
ACC20022026071,CUST20022026071,0711021001,BR102,Current
ACC20022026072,CUST20022026072,0721051001,BR105,Current
ACC20022026073,CUST20022026073,0731041001,BR104,Current
ACC20022026074,CUST20022026074,0741021001,BR102,Savings
ACC20022026075,CUST20022026075,0751051001,BR105,Savings
ACC20022026076,CUST20022026076,0761041001,BR104,Current
ACC20022026077,CUST20022026077,0771011001,BR101,Savings
ACC20022026078,CUST20022026078,0781021001,BR102,Current
ACC20022026079,CUST20022026079,0791031001,BR103,Current
ACC20022026080,CUST20022026080,0801051001,BR105,Savings
ACC20022026081,CUST20022026081,0811021001,BR102,Current
ACC20022026082,CUST20022026082,0821021001,BR102,Savings
ACC20022026083,CUST20022026083,0831041001,BR104,Savings
ACC20022026084,CUST20022026084,0841031001,BR103,Current
ACC20022026085,CUST20022026085,0851021001,BR102,Savings
ACC20022026086,CUST20022026086,0861041001,BR104,Savings
ACC20022026087,CUST20022026087,0871031001,BR103,Savings
ACC20022026088,CUST20022026088,0881041001,BR104,Current
ACC20022026089,CUST20022026089,0891021001,BR102,Savings
ACC20022026090,CUST20022026090,0901051001,BR105,Current
ACC20022026091,CUST20022026091,0911021001,BR102,Savings
ACC20022026092,CUST20022026092,0921011001,BR101,Savings
ACC20022026093,CUST20022026093,0931011001,BR101,Savings
ACC20022026094,CUST20022026094,0941011001,BR101,Current
ACC20022026095,CUST20022026095,0951041001,BR104,Current
ACC20022026096,CUST20022026096,0961021001,BR102,Current
ACC20022026097,CUST20022026097,0971031001,BR103,Savings
ACC20022026098,CUST20022026098,0981051001,BR105,Current
ACC20022026099,CUST20022026099,0991021001,BR102,Savings
ACC20022026100,CUST20022026100,1001041001,BR104,Savings
