transaction_id,account_id,account_number,customer_id,txn_date,txn_amount,transaction_type
TXN20022026000,ACC20022026001,0011011001,CUST20022026001,20-02-2026,4818,Debit
TXN20022026001,ACC20022026002,0021051001,CUST20022026002,20-02-2026,891,Debit
TXN20022026002,ACC20022026003,0031021001,CUST20022026003,20-02-2026,2733,Credit
TXN20022026003,ACC20022026004,0041051001,CUST20022026004,20-02-2026,2539,Credit
TXN20022026004,ACC20022026005,0051031001,CUST20022026005,20-02-2026,4535,Credit
TXN20022026005,ACC20022026006,0061011001,CUST20022026006,20-02-2026,750,Debit
TXN20022026006,ACC20022026007,0071011001,CUST20022026007,20-02-2026,715,Debit
TXN20022026007,ACC20022026008,0081031001,CUST20022026008,20-02-2026,1501,Debit
TXN20022026008,ACC20022026009,0091011001,CUST20022026009,20-02-2026,1238,Debit
TXN20022026009,ACC20022026010,0101041001,CUST20022026010,20-02-2026,1570,Credit
TXN20022026010,ACC20022026011,0111021001,CUST20022026011,20-02-2026,3387,Credit
TXN20022026011,ACC20022026012,0121051001,CUST20022026012,20-02-2026,1284,Debit
TXN20022026012,ACC20022026013,0131021001,CUST20022026013,20-02-2026,759,Debit
TXN20022026013,ACC20022026014,0141031001,CUST20022026014,20-02-2026,4088,Credit
TXN20022026014,ACC20022026015,0151031001,CUST20022026015,20-02-2026,3625,Debit
TXN20022026015,ACC20022026016,0161051001,CUST20022026016,20-02-2026,3099,Debit
TXN20022026016,ACC20022026017,0171021001,CUST20022026017,20-02-2026,1707,Credit
TXN20022026017,ACC20022026018,0181041001,CUST20022026018,20-02-2026,1394,Credit
TXN20022026018,ACC20022026019,0191041001,CUST20022026019,20-02-2026,2562,Debit
TXN20022026019,ACC20022026020,0201051001,CUST20022026020,20-02-2026,2363,Credit
TXN20022026020,ACC20022026021,0211021001,CUST20022026021,20-02-2026,1226,Credit
TXN20022026021,ACC20022026022,0221011001,CUST20022026022,20-02-2026,1933,Credit
TXN20022026022,ACC20022026023,0231031001,CUST20022026023,20-02-2026,2025,Debit
TXN20022026023,ACC20022026024,0241051001,CUST20022026024,20-02-2026,1979,Debit
TXN20022026024,ACC20022026025,0251031001,CUST20022026025,20-02-2026,3633,Credit
TXN20022026025,ACC20022026026,0261051001,CUST20022026026,20-02-2026,4606,Credit
TXN20022026026,ACC20022026027,0271041001,CUST20022026027,20-02-2026,644,Credit
TXN20022026027,ACC20022026028,0281021001,CUST20022026028,20-02-2026,2515,Credit
TXN20022026028,ACC20022026029,0291051001,CUST20022026029,20-02-2026,4293,Debit
TXN20022026029,ACC20022026030,0301031001,CUST20022026030,20-02-2026,4306,Debit
TXN20022026030,ACC20022026031,0311041001,CUST20022026031,20-02-2026,3512,Debit
TXN20022026031,ACC20022026032,0321031001,CUST20022026032,20-02-2026,933,Credit
TXN20022026032,ACC20022026033,0331041001,CUST20022026033,20-02-2026,1111,Credit
TXN20022026033,ACC20022026034,0341041001,CUST20022026034,20-02-2026,1177,Credit
TXN20022026034,ACC20022026035,0351031001,CUST20022026035,20-02-2026,719,Debit
TXN20022026035,ACC20022026036,0361031001,CUST20022026036,20-02-2026,1309,Credit
TXN20022026036,ACC20022026037,0371011001,CUST20022026037,20-02-2026,629,Debit
TXN20022026037,ACC20022026038,0381011001,CUST20022026038,20-02-2026,3139,Debit
TXN20022026038,ACC20022026039,0391021001,CUST20022026039,20-02-2026,1497,Debit
TXN20022026039,ACC20022026040,0401021001,CUST20022026040,20-02-2026,4611,Credit
TXN20022026040,ACC20022026041,0411021001,CUST20022026041,20-02-2026,4795,Credit
TXN20022026041,ACC20022026042,0421031001,CUST20022026042,20-02-2026,4357,Credit
TXN20022026042,ACC20022026043,0431041001,CUST20022026043,20-02-2026,1826,Debit
TXN20022026043,ACC20022026044,0441031001,CUST20022026044,20-02-2026,627,Debit
TXN20022026044,ACC20022026045,0451011001,CUST20022026045,20-02-2026,1619,Debit
TXN20022026045,ACC20022026046,0461011001,CUST20022026046,20-02-2026,2127,Credit
TXN20022026046,ACC20022026047,0471051001,CUST20022026047,20-02-2026,2676,Credit
TXN20022026047,ACC20022026048,0481031001,CUST20022026048,20-02-2026,4694,Credit
TXN20022026048,ACC20022026049,0491031001,CUST20022026049,20-02-2026,3753,Credit
TXN20022026049,ACC20022026050,0501041001,CUST20022026050,20-02-2026,2246,Credit
TXN20022026050,ACC20022026051,0511011001,CUST20022026051,20-02-2026,888,Credit
TXN20022026051,ACC20022026052,0521031001,CUST20022026052,20-02-2026,4695,Debit
TXN20022026052,ACC20022026053,0531041001,CUST20022026053,20-02-2026,2020,Credit
TXN20022026053,ACC20022026054,0541011001,CUST20022026054,20-02-2026,2473,Debit
TXN20022026054,ACC20022026055,0551051001,CUST20022026055,20-02-2026,1125,Credit
TXN20022026055,ACC20022026056,0561011001,CUST20022026056,20-02-2026,913,Credit
TXN20022026056,ACC20022026057,0571041001,CUST20022026057,20-02-2026,1984,Debit
TXN20022026057,ACC20022026058,0581021001,CUST20022026058,20-02-2026,3408,Credit
TXN20022026058,ACC20022026059,0591051001,CUST20022026059,20-02-2026,2368,Credit
TXN20022026059,ACC20022026060,0601041001,CUST20022026060,20-02-2026,956,Credit
TXN20022026060,ACC20022026061,0611031001,CUST20022026061,20-02-2026,1005,Debit
TXN20022026061,ACC20022026062,0621041001,CUST20022026062,20-02-2026,3019,Debit
TXN20022026062,ACC20022026063,0631021001,CUST20022026063,20-02-2026,4760,Credit
TXN20022026063,ACC20022026064,0641021001,CUST20022026064,20-02-2026,4149,Credit
TXN20022026064,ACC20022026065,0651031001,CUST20022026065,20-02-2026,2511,Debit
TXN20022026065,ACC20022026066,0661011001,CUST20022026066,20-02-2026,1389,Credit
TXN20022026066,ACC20022026067,0671041001,CUST20022026067,20-02-2026,2028,Credit
TXN20022026067,ACC20022026068,0681031001,CUST20022026068,20-02-2026,3554,Debit
TXN20022026068,ACC20022026069,0691041001,CUST20022026069,20-02-2026,4465,Credit
TXN20022026069,ACC20022026070,0701021001,CUST20022026070,20-02-2026,4706,Credit
TXN20022026070,ACC20022026071,0711051001,CUST20022026071,20-02-2026,3642,Credit
TXN20022026071,ACC20022026072,0721021001,CUST20022026072,20-02-2026,2343,Credit
TXN20022026072,ACC20022026073,0731051001,CUST20022026073,20-02-2026,3475,Debit
TXN20022026073,ACC20022026074,0741011001,CUST20022026074,20-02-2026,3697,Debit
TXN20022026074,ACC20022026075,0751021001,CUST20022026075,20-02-2026,3107,Debit
TXN20022026075,ACC20022026076,0761041001,CUST20022026076,20-02-2026,4998,Credit
TXN20022026076,ACC20022026077,0771011001,CUST20022026077,20-02-2026,2877,Credit
TXN20022026077,ACC20022026078,0781011001,CUST20022026078,20-02-2026,1195,Credit
TXN20022026078,ACC20022026079,0791021001,CUST20022026079,20-02-2026,4985,Debit
TXN20022026079,ACC20022026080,0801031001,CUST20022026080,20-02-2026,3162,Credit
TXN20022026080,ACC20022026081,0811031001,CUST20022026081,20-02-2026,2000,Credit
TXN20022026081,ACC20022026082,0821021001,CUST20022026082,20-02-2026,785,Debit
TXN20022026082,ACC20022026083,0831051001,CUST20022026083,20-02-2026,1770,Credit
TXN20022026083,ACC20022026084,0841021001,CUST20022026084,20-02-2026,4936,Debit
TXN20022026084,ACC20022026085,0851051001,CUST20022026085,20-02-2026,4351,Debit
TXN20022026085,ACC20022026086,0861021001,CUST20022026086,20-02-2026,4403,Debit
TXN20022026086,ACC20022026087,0871011001,CUST20022026087,20-02-2026,1108,Credit
TXN20022026087,ACC20022026088,0881041001,CUST20022026088,20-02-2026,1835,Credit
TXN20022026088,ACC20022026089,0891021001,CUST20022026089,20-02-2026,4363,Credit
TXN20022026089,ACC20022026090,0901051001,CUST20022026090,20-02-2026,2761,Debit
TXN20022026090,ACC20022026091,0911011001,CUST20022026091,20-02-2026,2040,Credit
TXN20022026091,ACC20022026092,0921011001,CUST20022026092,20-02-2026,805,Credit
TXN20022026092,ACC20022026093,0931031001,CUST20022026093,20-02-2026,4622,Credit
TXN20022026093,ACC20022026094,0941051001,CUST20022026094,20-02-2026,1915,Debit
TXN20022026094,ACC20022026095,0951041001,CUST20022026095,20-02-2026,2928,Debit
TXN20022026095,ACC20022026096,0961041001,CUST20022026096,20-02-2026,4342,Debit
TXN20022026096,ACC20022026097,0971011001,CUST20022026097,20-02-2026,3111,Credit
TXN20022026097,ACC20022026098,0981011001,CUST20022026098,20-02-2026,1033,Credit
TXN20022026098,ACC20022026099,0991041001,CUST20022026099,20-02-2026,3385,Credit
TXN20022026099,ACC20022026100,1001041001,CUST20022026100,20-02-2026,3084,Debit
