account_id,customer_id,account_number,branch_id,account_type
ACC20022026001,CUST20022026001,0011051001,BR105,Current
ACC20022026002,CUST20022026002,0021041001,BR104,Current
ACC20022026003,CUST20022026003,0031011001,BR101,Current
ACC20022026004,CUST20022026004,0041031001,BR103,Savings
ACC20022026005,CUST20022026005,0051011001,BR101,Current
ACC20022026006,CUST20022026006,0061041001,BR104,Savings
ACC20022026007,CUST20022026007,0071011001,BR101,Savings
ACC20022026008,CUST20022026008,0081021001,BR102,Savings
ACC20022026009,CUST20022026009,0091021001,BR102,Savings
ACC20022026010,CUST20022026010,0101021001,BR102,Savings
ACC20022026011,CUST20022026011,0111011001,BR101,Current
ACC20022026012,CUST20022026012,0121051001,BR105,Savings
ACC20022026013,CUST20022026013,0131011001,BR101,Current
ACC20022026014,CUST20022026014,0141021001,BR102,Savings
ACC20022026015,CUST20022026015,0151031001,BR103,Current
ACC20022026016,CUST20022026016,0161021001,BR102,Savings
ACC20022026017,CUST20022026017,0171011001,BR101,Current
ACC20022026018,CUST20022026018,0181031001,BR103,Current
ACC20022026019,CUST20022026019,0191021001,BR102,Current
ACC20022026020,CUST20022026020,0201011001,BR101,Savings
ACC20022026021,CUST20022026021,0211011001,BR101,Savings
ACC20022026022,CUST20022026022,0221041001,BR104,Savings
ACC20022026023,CUST20022026023,0231041001,BR104,Current
ACC20022026024,CUST20022026024,0241011001,BR101,Savings
ACC20022026025,CUST20022026025,0251011001,BR101,Current
ACC20022026026,CUST20022026026,0261011001,BR101,Current
ACC20022026027,CUST20022026027,0271041001,BR104,Current
ACC20022026028,CUST20022026028,0281041001,BR104,Current
ACC20022026029,CUST20022026029,0291011001,BR101,Savings
ACC20022026030,CUST20022026030,0301051001,BR105,Savings
ACC20022026031,CUST20022026031,0311011001,BR101,Current
ACC20022026032,CUST20022026032,0321031001,BR103,Current
ACC20022026033,CUST20022026033,0331021001,BR102,Current
ACC20022026034,CUST20022026034,0341021001,BR102,Current
ACC20022026035,CUST20022026035,0351031001,BR103,Savings
ACC20022026036,CUST20022026036,0361011001,BR101,Current
ACC20022026037,CUST20022026037,0371011001,BR101,Current
ACC20022026038,CUST20022026038,0381041001,BR104,Current
ACC20022026039,CUST20022026039,0391051001,BR105,Savings
ACC20022026040,CUST20022026040,0401021001,BR102,Savings
ACC20022026041,CUST20022026041,0411031001,BR103,Current
ACC20022026042,CUST20022026042,0421041001,BR104,Current
ACC20022026043,CUST20022026043,0431031001,BR103,Current
ACC20022026044,CUST20022026044,0441011001,BR101,Savings
ACC20022026045,CUST20022026045,0451011001,BR101,Current
ACC20022026046,CUST20022026046,0461041001,BR104,Current
ACC20022026047,CUST20022026047,0471051001,BR105,Current
ACC20022026048,CUST20022026048,0481041001,BR104,Savings
ACC20022026049,CUST20022026049,0491051001,BR105,Savings
ACC20022026050,CUST20022026050,0501031001,BR103,Current
ACC20022026051,CUST20022026051,0511051001,BR105,Current
ACC20022026052,CUST20022026052,0521051001,BR105,Savings
ACC20022026053,CUST20022026053,0531051001,BR105,Savings
ACC20022026054,CUST20022026054,0541011001,BR101,Current
ACC20022026055,CUST20022026055,0551021001,BR102,Savings
ACC20022026056,CUST20022026056,0561021001,BR102,Savings
ACC20022026057,CUST20022026057,0571041001,BR104,Savings
ACC20022026058,CUST20022026058,0581011001,BR101,Current
ACC20022026059,CUST20022026059,0591011001,BR101,Savings
ACC20022026060,CUST20022026060,0601021001,BR102,Savings
ACC20022026061,CUST20022026061,0611021001,BR102,Savings
ACC20022026062,CUST20022026062,0621011001,BR101,Savings
ACC20022026063,CUST20022026063,0631051001,BR105,Savings
ACC20022026064,CUST20022026064,0641041001,BR104,Current
ACC20022026065,CUST20022026065,0651051001,BR105,Savings
ACC20022026066,CUST20022026066,0661031001,BR103,Current
ACC20022026067,CUST20022026067,0671011001,BR101,Savings
ACC20022026068,CUST20022026068,0681011001,BR101,Savings
ACC20022026069,CUST20022026069,0691041001,BR104,Current
ACC20022026070,CUST20022026070,0701041001,BR104,Current
ACC20022026071,CUST20022026071,0711011001,BR101,Savings
ACC20022026072,CUST20022026072,0721041001,BR104,Current
ACC20022026073,CUST20022026073,0731011001,BR101,Current
ACC20022026074,CUST20022026074,0741041001,BR104,Savings
ACC20022026075,CUST20022026075,0751031001,BR103,Current
ACC20022026076,CUST20022026076,0761021001,BR102,Current
ACC20022026077,CUST20022026077,0771031001,BR103,Current
ACC20022026078,CUST20022026078,0781011001,BR101,Savings
ACC20022026079,CUST20022026079,0791021001,BR102,Current
ACC20022026080,CUST20022026080,0801041001,BR104,Current
ACC20022026081,CUST20022026081,0811041001,BR104,Current
ACC20022026082,CUST20022026082,0821031001,BR103,Savings
ACC20022026083,CUST20022026083,0831021001,BR102,Savings
ACC20022026084,CUST20022026084,0841041001,BR104,Current
ACC20022026085,CUST20022026085,0851021001,BR102,Savings
ACC20022026086,CUST20022026086,0861041001,BR104,Current
ACC20022026087,CUST20022026087,0871031001,BR103,Current
ACC20022026088,CUST20022026088,0881041001,BR104,Savings
ACC20022026089,CUST20022026089,0891051001,BR105,Savings
ACC20022026090,CUST20022026090,0901051001,BR105,Current
ACC20022026091,CUST20022026091,0911031001,BR103,Current
ACC20022026092,CUST20022026092,0921031001,BR103,Current
ACC20022026093,CUST20022026093,0931041001,BR104,Current
