account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260306_00001,CUS20260306_00001,ACC92643034,BR109,Savings,2026-03-06 11:58:59
ACC20260306_00002,CUS20260306_00002,ACC34375525,BR107,Savings,2026-03-06 11:58:59
ACC20260306_00003,CUS20260306_00003,ACC26137514,BR105,Savings,2026-03-06 11:58:59
ACC20260306_00004,CUS20260306_00004,ACC10676916,BR108,Current,2026-03-06 11:58:59
ACC20260306_00005,CUS20260306_00005,ACC70423395,BR104,Savings,2026-03-06 11:58:59
ACC20260306_00006,CUS20260306_00006,ACC80470313,BR108,Current,2026-03-06 11:58:59
ACC20260306_00007,CUS20260306_00007,ACC70333548,BR104,Current,2026-03-06 11:58:59
ACC20260306_00008,CUS20260306_00008,ACC27774086,BR110,Current,2026-03-06 11:58:59
ACC20260306_00009,CUS20260306_00009,ACC40114363,BR108,Current,2026-03-06 11:58:59
ACC20260306_00010,CUS20260306_00010,ACC27296230,BR107,Savings,2026-03-06 11:58:59
ACC20260306_00011,CUS20260306_00011,ACC75392093,BR107,Savings,2026-03-06 11:58:59
ACC20260306_00012,CUS20260306_00012,ACC44811600,BR106,Savings,2026-03-06 11:58:59
ACC20260306_00013,CUS20260306_00013,ACC73358443,BR101,Current,2026-03-06 11:58:59
ACC20260306_00014,CUS20260306_00014,ACC80089907,BR104,Current,2026-03-06 11:58:59
ACC20260306_00015,CUS20260306_00015,ACC69865367,BR102,Current,2026-03-06 11:58:59
ACC20260306_00016,CUS20260306_00016,ACC13954320,BR101,Savings,2026-03-06 11:58:59
ACC20260306_00017,CUS20260306_00017,ACC74974068,BR105,Current,2026-03-06 11:58:59
ACC20260306_00018,CUS20260306_00018,ACC67435009,BR105,Current,2026-03-06 11:58:59
ACC20260306_00019,CUS20260306_00019,ACC90076004,BR106,Current,2026-03-06 11:58:59
ACC20260306_00020,CUS20260306_00020,ACC18354626,BR109,Current,2026-03-06 11:58:59
ACC20260306_00021,CUS20260306_00021,ACC52119534,BR101,Savings,2026-03-06 11:58:59
ACC20260306_00022,CUS20260306_00022,ACC72393149,BR108,Current,2026-03-06 11:58:59
ACC20260306_00023,CUS20260306_00023,ACC79918698,BR103,Current,2026-03-06 11:58:59
ACC20260306_00024,CUS20260306_00024,ACC59275393,BR101,Savings,2026-03-06 11:58:59
ACC20260306_00025,CUS20260306_00025,ACC67956873,BR109,Current,2026-03-06 11:58:59
ACC20260306_00026,CUS20260306_00026,ACC70862659,BR105,Current,2026-03-06 11:58:59
ACC20260306_00027,CUS20260306_00027,ACC84646556,BR109,Savings,2026-03-06 11:58:59
ACC20260306_00028,CUS20260306_00028,ACC61433387,BR108,Savings,2026-03-06 11:58:59
ACC20260306_00029,CUS20260306_00029,ACC37900843,BR104,Savings,2026-03-06 11:58:59
ACC20260306_00030,CUS20260306_00030,ACC30840154,BR106,Current,2026-03-06 11:58:59
ACC20260306_00031,CUS20260306_00031,ACC23005545,BR106,Savings,2026-03-06 11:58:59
ACC20260306_00032,CUS20260306_00032,ACC86879049,BR103,Current,2026-03-06 11:58:59
ACC20260306_00033,CUS20260306_00033,ACC32393990,BR102,Savings,2026-03-06 11:58:59
ACC20260306_00034,CUS20260306_00034,ACC38255930,BR108,Savings,2026-03-06 11:58:59
ACC20260306_00035,CUS20260306_00035,ACC55665111,BR108,Savings,2026-03-06 11:58:59
ACC20260306_00036,CUS20260306_00036,ACC90121963,BR101,Current,2026-03-06 11:58:59
ACC20260306_00037,CUS20260306_00037,ACC94898030,BR107,Savings,2026-03-06 11:58:59
ACC20260306_00038,CUS20260306_00038,ACC20027638,BR107,Current,2026-03-06 11:58:59
ACC20260306_00039,CUS20260306_00039,ACC65572612,BR106,Current,2026-03-06 11:58:59
ACC20260306_00040,CUS20260306_00040,ACC41538273,BR101,Current,2026-03-06 11:58:59
ACC20260306_00041,CUS20260306_00041,ACC63572139,BR109,Savings,2026-03-06 11:58:59
ACC20260306_00042,CUS20260306_00042,ACC36349472,BR103,Current,2026-03-06 11:58:59
ACC20260306_00043,CUS20260306_00043,ACC68081510,BR106,Current,2026-03-06 11:58:59
ACC20260306_00044,CUS20260306_00044,ACC86417264,BR102,Current,2026-03-06 11:58:59
ACC20260306_00045,CUS20260306_00045,ACC43056787,BR102,Savings,2026-03-06 11:58:59
ACC20260306_00046,CUS20260306_00046,ACC87492324,BR109,Savings,2026-03-06 11:58:59
ACC20260306_00047,CUS20260306_00047,ACC83059536,BR101,Current,2026-03-06 11:58:59
ACC20260306_00048,CUS20260306_00048,ACC18383997,BR104,Savings,2026-03-06 11:58:59
ACC20260306_00049,CUS20260306_00049,ACC17633826,BR102,Current,2026-03-06 11:58:59
ACC20260306_00050,CUS20260306_00050,ACC79807562,BR106,Savings,2026-03-06 11:58:59
