account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260305_00001,CUS20260305_00001,ACC14607595,BR107,Current,2026-03-05 17:09:58
ACC20260305_00002,CUS20260305_00002,ACC70194570,BR106,Savings,2026-03-05 17:09:58
ACC20260305_00003,CUS20260305_00003,ACC53353821,BR106,Savings,2026-03-05 17:09:58
ACC20260305_00004,CUS20260305_00004,ACC74999423,BR102,Current,2026-03-05 17:09:58
ACC20260305_00005,CUS20260305_00005,ACC43588602,BR103,Savings,2026-03-05 17:09:58
ACC20260305_00006,CUS20260305_00006,ACC89021351,BR107,Savings,2026-03-05 17:09:58
ACC20260305_00007,CUS20260305_00007,ACC95903103,BR110,Current,2026-03-05 17:09:58
ACC20260305_00008,CUS20260305_00008,ACC28969651,BR106,Savings,2026-03-05 17:09:58
ACC20260305_00009,CUS20260305_00009,ACC11247998,BR107,Current,2026-03-05 17:09:58
ACC20260305_00010,CUS20260305_00010,ACC93643936,BR102,Savings,2026-03-05 17:09:58
ACC20260305_00011,CUS20260305_00011,ACC36470938,BR103,Current,2026-03-05 17:09:58
ACC20260305_00012,CUS20260305_00012,ACC44215638,BR103,Savings,2026-03-05 17:09:58
ACC20260305_00013,CUS20260305_00013,ACC20207543,BR102,Savings,2026-03-05 17:09:58
ACC20260305_00014,CUS20260305_00014,ACC60268237,BR106,Savings,2026-03-05 17:09:58
ACC20260305_00015,CUS20260305_00015,ACC23743768,BR103,Current,2026-03-05 17:09:58
ACC20260305_00016,CUS20260305_00016,ACC61318141,BR102,Current,2026-03-05 17:09:58
ACC20260305_00017,CUS20260305_00017,ACC93731810,BR109,Savings,2026-03-05 17:09:58
ACC20260305_00018,CUS20260305_00018,ACC63593965,BR109,Savings,2026-03-05 17:09:58
ACC20260305_00019,CUS20260305_00019,ACC79904790,BR108,Current,2026-03-05 17:09:58
ACC20260305_00020,CUS20260305_00020,ACC55737029,BR108,Current,2026-03-05 17:09:58
ACC20260305_00021,CUS20260305_00021,ACC16971248,BR102,Savings,2026-03-05 17:09:58
ACC20260305_00022,CUS20260305_00022,ACC50325350,BR110,Savings,2026-03-05 17:09:58
ACC20260305_00023,CUS20260305_00023,ACC45794951,BR101,Current,2026-03-05 17:09:58
ACC20260305_00024,CUS20260305_00024,ACC40741352,BR110,Current,2026-03-05 17:09:58
ACC20260305_00025,CUS20260305_00025,ACC10684921,BR101,Savings,2026-03-05 17:09:58
ACC20260305_00026,CUS20260305_00026,ACC87541217,BR107,Current,2026-03-05 17:09:58
ACC20260305_00027,CUS20260305_00027,ACC28473837,BR103,Current,2026-03-05 17:09:58
ACC20260305_00028,CUS20260305_00028,ACC96606195,BR110,Savings,2026-03-05 17:09:58
ACC20260305_00029,CUS20260305_00029,ACC99840065,BR106,Current,2026-03-05 17:09:58
ACC20260305_00030,CUS20260305_00030,ACC60783054,BR104,Current,2026-03-05 17:09:58
ACC20260305_00031,CUS20260305_00031,ACC56498270,BR102,Current,2026-03-05 17:09:58
ACC20260305_00032,CUS20260305_00032,ACC27661203,BR104,Savings,2026-03-05 17:09:58
ACC20260305_00033,CUS20260305_00033,ACC28895861,BR103,Savings,2026-03-05 17:09:58
ACC20260305_00034,CUS20260305_00034,ACC18651964,BR102,Current,2026-03-05 17:09:58
ACC20260305_00035,CUS20260305_00035,ACC76229421,BR110,Current,2026-03-05 17:09:58
ACC20260305_00036,CUS20260305_00036,ACC91917081,BR101,Savings,2026-03-05 17:09:58
ACC20260305_00037,CUS20260305_00037,ACC41578940,BR102,Savings,2026-03-05 17:09:58
ACC20260305_00038,CUS20260305_00038,ACC16050442,BR105,Savings,2026-03-05 17:09:58
ACC20260305_00039,CUS20260305_00039,ACC99079365,BR106,Savings,2026-03-05 17:09:58
ACC20260305_00040,CUS20260305_00040,ACC85954542,BR110,Current,2026-03-05 17:09:58
ACC20260305_00041,CUS20260305_00041,ACC87005683,BR109,Current,2026-03-05 17:09:58
ACC20260305_00042,CUS20260305_00042,ACC17074179,BR103,Savings,2026-03-05 17:09:58
ACC20260305_00043,CUS20260305_00043,ACC71014549,BR107,Savings,2026-03-05 17:09:58
ACC20260305_00044,CUS20260305_00044,ACC39248770,BR104,Current,2026-03-05 17:09:58
ACC20260305_00045,CUS20260305_00045,ACC93553947,BR103,Current,2026-03-05 17:09:58
ACC20260305_00046,CUS20260305_00046,ACC49047998,BR109,Current,2026-03-05 17:09:58
ACC20260305_00047,CUS20260305_00047,ACC17524492,BR103,Savings,2026-03-05 17:09:58
ACC20260305_00048,CUS20260305_00048,ACC49473804,BR102,Savings,2026-03-05 17:09:58
ACC20260305_00049,CUS20260305_00049,ACC83520686,BR105,Savings,2026-03-05 17:09:58
ACC20260305_00050,CUS20260305_00050,ACC94976274,BR109,Savings,2026-03-05 17:09:58
