transaction_id,account_id,account_number,customer_id,txn_date,txn_amount,transaction_type
TXN20022026000,ACC20022026001,0011041001,CUST20022026001,20-02-2026,819,Credit
TXN20022026001,ACC20022026002,0021011001,CUST20022026002,20-02-2026,2156,Credit
TXN20022026002,ACC20022026003,0031011001,CUST20022026003,20-02-2026,3422,Credit
TXN20022026003,ACC20022026004,0041041001,CUST20022026004,20-02-2026,681,Debit
TXN20022026004,ACC20022026005,0051011001,CUST20022026005,20-02-2026,3715,Debit
TXN20022026005,ACC20022026006,0061031001,CUST20022026006,20-02-2026,2874,Debit
TXN20022026006,ACC20022026007,0071051001,CUST20022026007,20-02-2026,1713,Credit
TXN20022026007,ACC20022026008,0081011001,CUST20022026008,20-02-2026,3268,Debit
TXN20022026008,ACC20022026009,0091051001,CUST20022026009,20-02-2026,1379,Credit
TXN20022026009,ACC20022026010,0101031001,CUST20022026010,20-02-2026,2724,Debit
TXN20022026010,ACC20022026011,0111011001,CUST20022026011,20-02-2026,1417,Credit
TXN20022026011,ACC20022026012,0121031001,CUST20022026012,20-02-2026,1581,Credit
TXN20022026012,ACC20022026013,0131011001,CUST20022026013,20-02-2026,4114,Credit
TXN20022026013,ACC20022026014,0141041001,CUST20022026014,20-02-2026,4451,Credit
TXN20022026014,ACC20022026015,0151011001,CUST20022026015,20-02-2026,4994,Credit
TXN20022026015,ACC20022026016,0161031001,CUST20022026016,20-02-2026,1382,Credit
TXN20022026016,ACC20022026017,0171051001,CUST20022026017,20-02-2026,1968,Credit
TXN20022026017,ACC20022026018,0181021001,CUST20022026018,20-02-2026,1599,Debit
TXN20022026018,ACC20022026019,0191011001,CUST20022026019,20-02-2026,4425,Debit
TXN20022026019,ACC20022026020,0201051001,CUST20022026020,20-02-2026,3483,Debit
TXN20022026020,ACC20022026021,0211051001,CUST20022026021,20-02-2026,3061,Credit
TXN20022026021,ACC20022026022,0221021001,CUST20022026022,20-02-2026,609,Credit
TXN20022026022,ACC20022026023,0231041001,CUST20022026023,20-02-2026,2800,Debit
TXN20022026023,ACC20022026024,0241021001,CUST20022026024,20-02-2026,4016,Debit
TXN20022026024,ACC20022026025,0251031001,CUST20022026025,20-02-2026,2796,Debit
TXN20022026025,ACC20022026026,0261041001,CUST20022026026,20-02-2026,3750,Debit
TXN20022026026,ACC20022026027,0271011001,CUST20022026027,20-02-2026,3825,Credit
TXN20022026027,ACC20022026028,0281011001,CUST20022026028,20-02-2026,2526,Credit
TXN20022026028,ACC20022026029,0291031001,CUST20022026029,20-02-2026,920,Debit
TXN20022026029,ACC20022026030,0301011001,CUST20022026030,20-02-2026,4028,Credit
TXN20022026030,ACC20022026031,0311011001,CUST20022026031,20-02-2026,1531,Debit
TXN20022026031,ACC20022026032,0321041001,CUST20022026032,20-02-2026,4364,Credit
TXN20022026032,ACC20022026033,0331021001,CUST20022026033,20-02-2026,1095,Credit
TXN20022026033,ACC20022026034,0341021001,CUST20022026034,20-02-2026,3150,Debit
TXN20022026034,ACC20022026035,0351031001,CUST20022026035,20-02-2026,4144,Debit
TXN20022026035,ACC20022026036,0361021001,CUST20022026036,20-02-2026,3012,Debit
TXN20022026036,ACC20022026037,0371051001,CUST20022026037,20-02-2026,3699,Credit
TXN20022026037,ACC20022026038,0381021001,CUST20022026038,20-02-2026,2190,Debit
TXN20022026038,ACC20022026039,0391031001,CUST20022026039,20-02-2026,2788,Credit
TXN20022026039,ACC20022026040,0401021001,CUST20022026040,20-02-2026,3719,Credit
TXN20022026040,ACC20022026041,0411031001,CUST20022026041,20-02-2026,1631,Credit
TXN20022026041,ACC20022026042,0421021001,CUST20022026042,20-02-2026,1533,Debit
TXN20022026042,ACC20022026043,0431011001,CUST20022026043,20-02-2026,1706,Debit
TXN20022026043,ACC20022026044,0441021001,CUST20022026044,20-02-2026,1199,Debit
TXN20022026044,ACC20022026045,0451031001,CUST20022026045,20-02-2026,962,Credit
TXN20022026045,ACC20022026046,0461011001,CUST20022026046,20-02-2026,1143,Credit
TXN20022026046,ACC20022026047,0471021001,CUST20022026047,20-02-2026,4419,Credit
TXN20022026047,ACC20022026048,0481011001,CUST20022026048,20-02-2026,1125,Credit
TXN20022026048,ACC20022026049,0491051001,CUST20022026049,20-02-2026,1839,Credit
TXN20022026049,ACC20022026050,0501031001,CUST20022026050,20-02-2026,2357,Debit
TXN20022026050,ACC20022026051,0511021001,CUST20022026051,20-02-2026,4378,Debit
TXN20022026051,ACC20022026052,0521021001,CUST20022026052,20-02-2026,2314,Debit
TXN20022026052,ACC20022026053,0531021001,CUST20022026053,20-02-2026,1302,Debit
TXN20022026053,ACC20022026054,0541051001,CUST20022026054,20-02-2026,3443,Debit
TXN20022026054,ACC20022026055,0551051001,CUST20022026055,20-02-2026,1947,Debit
TXN20022026055,ACC20022026056,0561031001,CUST20022026056,20-02-2026,938,Debit
TXN20022026056,ACC20022026057,0571031001,CUST20022026057,20-02-2026,1610,Credit
TXN20022026057,ACC20022026058,0581031001,CUST20022026058,20-02-2026,2390,Debit
TXN20022026058,ACC20022026059,0591031001,CUST20022026059,20-02-2026,3233,Debit
TXN20022026059,ACC20022026060,0601041001,CUST20022026060,20-02-2026,3770,Debit
TXN20022026060,ACC20022026061,0611031001,CUST20022026061,20-02-2026,3149,Debit
TXN20022026061,ACC20022026062,0621021001,CUST20022026062,20-02-2026,1523,Credit
TXN20022026062,ACC20022026063,0631021001,CUST20022026063,20-02-2026,4430,Credit
TXN20022026063,ACC20022026064,0641011001,CUST20022026064,20-02-2026,2234,Debit
TXN20022026064,ACC20022026065,0651051001,CUST20022026065,20-02-2026,2255,Debit
TXN20022026065,ACC20022026066,0661051001,CUST20022026066,20-02-2026,1744,Credit
TXN20022026066,ACC20022026067,0671041001,CUST20022026067,20-02-2026,2212,Debit
TXN20022026067,ACC20022026068,0681041001,CUST20022026068,20-02-2026,857,Credit
TXN20022026068,ACC20022026069,0691011001,CUST20022026069,20-02-2026,851,Credit
TXN20022026069,ACC20022026070,0701021001,CUST20022026070,20-02-2026,4928,Credit
TXN20022026070,ACC20022026071,0711051001,CUST20022026071,20-02-2026,4430,Debit
TXN20022026071,ACC20022026072,0721021001,CUST20022026072,20-02-2026,1311,Credit
TXN20022026072,ACC20022026073,0731021001,CUST20022026073,20-02-2026,1630,Credit
TXN20022026073,ACC20022026074,0741031001,CUST20022026074,20-02-2026,1700,Debit
TXN20022026074,ACC20022026075,0751031001,CUST20022026075,20-02-2026,3944,Credit
TXN20022026075,ACC20022026076,0761041001,CUST20022026076,20-02-2026,1059,Debit
TXN20022026076,ACC20022026077,0771031001,CUST20022026077,20-02-2026,2284,Credit
TXN20022026077,ACC20022026078,0781031001,CUST20022026078,20-02-2026,4670,Credit
TXN20022026078,ACC20022026079,0791021001,CUST20022026079,20-02-2026,4836,Credit
TXN20022026079,ACC20022026080,0801031001,CUST20022026080,20-02-2026,2590,Debit
TXN20022026080,ACC20022026081,0811051001,CUST20022026081,20-02-2026,4633,Credit
TXN20022026081,ACC20022026082,0821031001,CUST20022026082,20-02-2026,1391,Debit
TXN20022026082,ACC20022026083,0831051001,CUST20022026083,20-02-2026,1028,Debit
TXN20022026083,ACC20022026084,0841011001,CUST20022026084,20-02-2026,1639,Debit
TXN20022026084,ACC20022026085,0851011001,CUST20022026085,20-02-2026,2071,Debit
TXN20022026085,ACC20022026086,0861021001,CUST20022026086,20-02-2026,3813,Debit
TXN20022026086,ACC20022026087,0871051001,CUST20022026087,20-02-2026,4916,Debit
TXN20022026087,ACC20022026088,0881011001,CUST20022026088,20-02-2026,3061,Debit
TXN20022026088,ACC20022026089,0891051001,CUST20022026089,20-02-2026,1671,Credit
TXN20022026089,ACC20022026090,0901031001,CUST20022026090,20-02-2026,3850,Credit
TXN20022026090,ACC20022026091,0911051001,CUST20022026091,20-02-2026,4571,Debit
