customer_id,dob,phone,loan_type,loan_amount,application_date,status
CUST20022026002,30-10-1988,9206790898,Home,244049,20-02-2026,Approved
CUST20022026003,08-06-1982,8614523071,Car,986990,20-02-2026,Pending
CUST20022026004,21-10-1971,9782492110,Personal,626476,20-02-2026,Pending
CUST20022026005,21-06-1971,8979790282,Car,585837,20-02-2026,Rejected
CUST20022026006,17-06-1991,7195518778,Car,394486,20-02-2026,Approved
CUST20022026007,04-09-1997,8511269215,Car,519476,20-02-2026,Pending
CUST20022026010,03-06-2000,7238500182,Home,211052,20-02-2026,Rejected
CUST20022026012,09-02-1979,8557373491,Home,781678,20-02-2026,Rejected
CUST20022026013,10-03-1986,8471052376,Car,508490,20-02-2026,Approved
CUST20022026019,21-06-1986,6495707984,Personal,848940,20-02-2026,Rejected
CUST20022026025,31-01-1991,6733843410,Home,826581,20-02-2026,Approved
CUST20022026026,05-11-1986,9820340287,Personal,687961,20-02-2026,Rejected
CUST20022026027,11-02-1983,7081613159,Personal,868547,20-02-2026,Approved
CUST20022026030,01-05-1972,8642000439,Car,692847,20-02-2026,Rejected
CUST20022026031,24-03-1988,6502324749,Personal,645065,20-02-2026,Pending
CUST20022026033,27-02-1994,9062079688,Car,868044,20-02-2026,Pending
CUST20022026034,10-11-2000,9620608191,Car,566729,20-02-2026,Approved
CUST20022026035,14-07-1997,8951891756,Personal,363073,20-02-2026,Approved
CUST20022026037,09-08-1973,8685179431,Car,802299,20-02-2026,Rejected
CUST20022026039,20-10-1988,6968693279,Home,882131,20-02-2026,Rejected
CUST20022026040,22-04-1983,9509576539,Car,331714,20-02-2026,Rejected
CUST20022026041,04-06-1992,8579845313,Home,116505,20-02-2026,Pending
CUST20022026042,15-09-1970,9888046937,Home,435063,20-02-2026,Approved
CUST20022026043,02-08-1992,9946189481,Car,571905,20-02-2026,Approved
CUST20022026044,22-04-1976,8056254480,Personal,435278,20-02-2026,Pending
CUST20022026045,20-01-1977,8669054656,Home,336415,20-02-2026,Rejected
CUST20022026046,24-05-1976,6548287341,Personal,828122,20-02-2026,Approved
CUST20022026048,24-06-1989,9351219891,Personal,311295,20-02-2026,Approved
CUST20022026051,29-04-1974,8710811169,Car,160940,20-02-2026,Rejected
CUST20022026052,18-10-1976,8857875353,Home,866279,20-02-2026,Approved
CUST20022026056,05-07-1997,6833860305,Home,109283,20-02-2026,Approved
CUST20022026058,03-11-1999,6264272113,Car,293121,20-02-2026,Rejected
CUST20022026060,27-03-1973,8576337430,Personal,563913,20-02-2026,Rejected
CUST20022026061,05-07-1977,8276408913,Home,708430,20-02-2026,Pending
CUST20022026063,26-03-1982,8692595236,Home,770936,20-02-2026,Rejected
CUST20022026064,25-07-1971,7418352915,Home,187249,20-02-2026,Approved
CUST20022026066,15-08-1996,7326618310,Home,322861,20-02-2026,Rejected
CUST20022026067,31-12-1983,6988256008,Home,833715,20-02-2026,Rejected
CUST20022026070,30-03-1991,6767413242,Home,568683,20-02-2026,Rejected
CUST20022026071,23-09-1994,8853422867,Home,626722,20-02-2026,Approved
CUST20022026074,06-12-1988,7643697686,Personal,204328,20-02-2026,Pending
CUST20022026075,21-09-1994,6296016747,Car,109893,20-02-2026,Approved
CUST20022026076,15-09-1975,6112271104,Home,824209,20-02-2026,Approved
CUST20022026078,30-03-1993,9326154011,Home,236889,20-02-2026,Rejected
CUST20022026079,04-07-1983,8589030855,Car,466777,20-02-2026,Pending
CUST20022026080,05-12-1993,6306911791,Home,437579,20-02-2026,Approved
CUST20022026084,15-05-1973,9064537085,Home,247866,20-02-2026,Pending
CUST20022026087,20-01-1971,9748342030,Home,934903,20-02-2026,Rejected
CUST20022026088,26-10-1977,7279426160,Personal,666398,20-02-2026,Pending
CUST20022026089,27-07-1979,6722415453,Car,888125,20-02-2026,Pending
CUST20022026090,23-11-2001,7298291593,Personal,467310,20-02-2026,Pending
CUST20022026092,22-11-1977,7883685373,Personal,186848,20-02-2026,Pending
CUST20022026094,26-10-1973,9177095515,Personal,199680,20-02-2026,Rejected
CUST20022026096,19-03-1991,7007385800,Personal,803832,20-02-2026,Approved
CUST20022026099,23-09-1973,7484921930,Home,434571,20-02-2026,Approved
CUST20022026100,19-01-1997,9999951565,Car,473071,20-02-2026,Approved
