customer_id,name,dob,phone,email,address,create_tsp
CUS20260306_00001,Suresh Singh,1998-08-16,8168642627,suresh.singh1@bank.com,"Pimpri, Pune",2026-03-06 11:54:10
CUS20260306_00002,Anil Chopra,1987-04-21,8541908136,anil.chopra2@bank.com,"Shivaji Nagar, Pune",2026-03-06 11:54:10
CUS20260306_00003,Rohan Singh,1971-01-02,8866068664,rohan.singh3@bank.com,"Aundh, Pune",2026-03-06 11:54:10
CUS20260306_00004,Lakshmi Sharma,1969-04-12,8768054872,lakshmi.sharma4@bank.com,"Chinchwad, Pune",2026-03-06 11:54:10
CUS20260306_00005,Anil Bhatt,1995-10-22,6294705566,anil.bhatt5@bank.com,"Kothrud, Pune",2026-03-06 11:54:10
CUS20260306_00006,Arjun D'Souza,1991-09-16,9378552016,arjun.dsouza6@bank.com,"Hinjewadi, Pune",2026-03-06 11:54:10
CUS20260306_00007,Vikram Khan,2003-10-26,9070648682,vikram.khan7@bank.com,"Aundh, Pune",2026-03-06 11:54:10
CUS20260306_00008,Fatima Iyer,2000-07-18,7912465119,fatima.iyer8@bank.com,"Aundh, Pune",2026-03-06 11:54:10
CUS20260306_00009,Fatima Bose,1969-06-13,9017397457,fatima.bose9@bank.com,"Chinchwad, Pune",2026-03-06 11:54:10
CUS20260306_00010,Fatima Bose,1969-11-13,6043365715,fatima.bose10@bank.com,"Kothrud, Pune",2026-03-06 11:54:10
CUS20260306_00011,Rohan Reddy,1974-07-06,8281378713,rohan.reddy11@bank.com,"Viman Nagar, Pune",2026-03-06 11:54:10
CUS20260306_00012,Neha Verma,1981-01-08,8324758790,neha.verma12@bank.com,"Chinchwad, Pune",2026-03-06 11:54:10
CUS20260306_00013,Rani Bhatt,1996-11-06,6607649833,rani.bhatt13@bank.com,"Viman Nagar, Pune",2026-03-06 11:54:10
CUS20260306_00014,Lakshmi Sharma,2002-04-15,9362746702,lakshmi.sharma14@bank.com,"Wakad, Pune",2026-03-06 11:54:10
CUS20260306_00015,Suresh Khan,1993-04-18,7055653340,suresh.khan15@bank.com,"Shivaji Nagar, Pune",2026-03-06 11:54:10
CUS20260306_00016,Priya Chopra,1970-02-16,9452493579,priya.chopra16@bank.com,"Pimpri, Pune",2026-03-06 11:54:10
CUS20260306_00017,Meera Verma,1992-08-23,9343065909,meera.verma17@bank.com,"Aundh, Pune",2026-03-06 11:54:10
CUS20260306_00018,Lakshmi Verma,1993-04-04,8338215212,lakshmi.verma18@bank.com,"Aundh, Pune",2026-03-06 11:54:10
CUS20260306_00019,Rani Iyer,1978-02-06,6141172492,rani.iyer19@bank.com,"Pimpri, Pune",2026-03-06 11:54:10
CUS20260306_00020,Priya Khan,1977-08-10,8550087221,priya.khan20@bank.com,"Viman Nagar, Pune",2026-03-06 11:54:10
CUS20260306_00021,Nabil Bose,1998-12-03,6366558496,nabil.bose21@bank.com,"Kharadi, Pune",2026-03-06 11:54:10
CUS20260306_00022,Suresh Joshi,1973-06-05,9056887012,suresh.joshi22@bank.com,"Pimpri, Pune",2026-03-06 11:54:10
CUS20260306_00023,Amit Joshi,1998-04-10,7520409383,amit.joshi23@bank.com,"Baner, Pune",2026-03-06 11:54:10
