customer_id,name,dob,phone,email,address
CUST20022026001,Kavita Iqbal Chatterjee,22-03-1982,6513011214,kavita.iqbal.chatterjee@bank.com,City_1
CUST20022026002,Imran Kumar Nair,02-12-1976,6196751603,imran.kumar.nair@bank.com,City_2
CUST20022026003,Zara Fatima Nair,14-09-1991,7339553341,zara.fatima.nair@bank.com,City_3
CUST20022026004,Farhan Hussain Bose,14-06-1982,9893724428,farhan.hussain.bose@bank.com,City_4
CUST20022026005,Fatima Suresh Bose,18-11-1994,9692181981,fatima.suresh.bose@bank.com,City_5
CUST20022026006,Vikram Fatima Bose,28-12-1973,9642125192,vikram.fatima.bose@bank.com,City_6
CUST20022026007,Deepak Lakshmi Khan,11-04-1992,8690800458,deepak.lakshmi.khan@bank.com,City_7
CUST20022026008,Anil Singh Bhatt,18-12-1993,7839349420,anil.singh.bhatt@bank.com,City_8
CUST20022026009,Sana Hussain Das,08-05-1984,8369184474,sana.hussain.das@bank.com,City_9
CUST20022026010,Kavita Manoj Patel,17-01-1991,8530728580,kavita.manoj.patel@bank.com,City_10
CUST20022026011,Farhan Suresh Chopra,12-08-1985,8709290059,farhan.suresh.chopra@bank.com,City_11
CUST20022026012,Rohan Kumar Patel,12-08-1977,9716129188,rohan.kumar.patel@bank.com,City_12
CUST20022026013,Nabil Anand Fernandes,27-02-1994,6575688155,nabil.anand.fernandes@bank.com,City_13
CUST20022026014,Rahul Shahid Roy,05-03-1973,6513008867,rahul.shahid.roy@bank.com,City_14
CUST20022026015,Zara Prasad Patel,15-02-1980,8722544736,zara.prasad.patel@bank.com,City_15
CUST20022026016,Meera George Khan,31-08-1974,9760902784,meera.george.khan@bank.com,City_16
CUST20022026017,Sneha Iqbal Kapoor,22-11-1971,8167140756,sneha.iqbal.kapoor@bank.com,City_17
CUST20022026018,Pooja Joseph Das,27-10-1999,6575720318,pooja.joseph.das@bank.com,City_18
CUST20022026019,Meera Hussain Iyer,15-09-1970,7563718748,meera.hussain.iyer@bank.com,City_19
CUST20022026020,Sneha Kumar Khan,01-08-1974,9849061557,sneha.kumar.khan@bank.com,City_20
CUST20022026021,Fatima Devi Gupta,28-09-1991,7623919493,fatima.devi.gupta@bank.com,City_21
CUST20022026022,Pooja Suresh Bhatt,08-10-1976,9701487875,pooja.suresh.bhatt@bank.com,City_22
CUST20022026023,Rahul Ahmed Mehta,13-01-1981,6675314408,rahul.ahmed.mehta@bank.com,City_23
CUST20022026024,Anil Ali Bose,23-07-1981,7077521955,anil.ali.bose@bank.com,City_24
CUST20022026025,Imran George Das,22-12-1974,7752069082,imran.george.das@bank.com,City_25
CUST20022026026,Imran Suresh Khan,20-07-1999,9402640053,imran.suresh.khan@bank.com,City_26
CUST20022026027,Fatima Raj Mehta,03-12-1981,7692464629,fatima.raj.mehta@bank.com,City_27
CUST20022026028,Fatima Joseph Fernandes,26-12-1983,7049760836,fatima.joseph.fernandes@bank.com,City_28
CUST20022026029,Anil Lakshmi Bhatt,07-03-1981,8548570580,anil.lakshmi.bhatt@bank.com,City_29
CUST20022026030,Deepak Hussain Gupta,28-11-1978,6058787583,deepak.hussain.gupta@bank.com,City_30
CUST20022026031,Sneha Raj Patel,09-10-1985,9817587107,sneha.raj.patel@bank.com,City_31
CUST20022026032,Rahul Prasad Das,27-03-1984,8335901189,rahul.prasad.das@bank.com,City_32
CUST20022026033,Farhan Rakesh Fernandes,09-12-1973,8510906140,farhan.rakesh.fernandes@bank.com,City_33
CUST20022026034,Kavita Ahmed Khan,30-06-1980,9154445077,kavita.ahmed.khan@bank.com,City_34
CUST20022026035,Sneha Lakshmi Chatterjee,22-10-1977,7049320277,sneha.lakshmi.chatterjee@bank.com,City_35
CUST20022026036,Deepak Rani Chatterjee,26-01-1972,6756099918,deepak.rani.chatterjee@bank.com,City_36
CUST20022026037,Imran Lakshmi Bhatt,10-05-1999,8904061969,imran.lakshmi.bhatt@bank.com,City_37
CUST20022026038,Pooja Suresh Gupta,14-06-1971,7406535764,pooja.suresh.gupta@bank.com,City_38
CUST20022026039,Meera Rani Malik,15-11-1983,9232456995,meera.rani.malik@bank.com,City_39
CUST20022026040,Pooja Ali Roy,27-11-1975,9628249652,pooja.ali.roy@bank.com,City_40
CUST20022026041,Anil Nabil Chatterjee,22-09-1995,6044845490,anil.nabil.chatterjee@bank.com,City_41
CUST20022026042,Pooja Fatima Ahmed,03-04-1981,6084312091,pooja.fatima.ahmed@bank.com,City_42
CUST20022026043,Arjun Shahid Bhatt,24-10-1971,6183170799,arjun.shahid.bhatt@bank.com,City_43
CUST20022026044,Sneha Kumar Chopra,31-03-1984,6080411209,sneha.kumar.chopra@bank.com,City_44
CUST20022026045,Deepak Raj Bhatt,13-05-1988,7812469233,deepak.raj.bhatt@bank.com,City_45
CUST20022026046,Vikram Raj Bhatt,13-07-1992,6154203819,vikram.raj.bhatt@bank.com,City_46
