customer_id,dob,phone,loan_type,loan_amount,application_date,status
CUST20022026001,16-01-1997,6031189071,Car,515332,20-02-2026,Approved
CUST20022026003,06-10-1974,6211135369,Car,695612,20-02-2026,Pending
CUST20022026007,14-08-2000,6378747637,Personal,312124,20-02-2026,Approved
CUST20022026008,17-04-1971,8134987117,Car,405965,20-02-2026,Approved
CUST20022026009,11-09-1985,8251064131,Car,404946,20-02-2026,Rejected
CUST20022026011,05-07-1990,9732045664,Personal,538565,20-02-2026,Approved
CUST20022026012,03-07-1982,6937251881,Personal,711810,20-02-2026,Rejected
CUST20022026014,01-04-1987,7308198571,Personal,417668,20-02-2026,Rejected
CUST20022026015,22-04-2000,6038157778,Car,465497,20-02-2026,Pending
CUST20022026020,31-10-1972,8182652965,Home,131779,20-02-2026,Approved
CUST20022026021,08-02-1990,6440575380,Personal,930250,20-02-2026,Approved
CUST20022026025,30-12-1973,6490992464,Personal,431615,20-02-2026,Rejected
CUST20022026028,15-02-1973,6435415684,Car,590410,20-02-2026,Rejected
CUST20022026029,04-10-1986,7647067499,Car,343865,20-02-2026,Rejected
CUST20022026031,11-06-1991,6470691364,Home,565484,20-02-2026,Approved
CUST20022026032,24-12-1979,6785877970,Personal,518537,20-02-2026,Approved
CUST20022026033,05-11-1998,6761938980,Home,911384,20-02-2026,Pending
CUST20022026034,22-06-1998,7247728729,Car,660603,20-02-2026,Pending
CUST20022026035,27-08-1970,9926640228,Car,274144,20-02-2026,Pending
CUST20022026036,06-03-1986,8488473048,Personal,631139,20-02-2026,Pending
CUST20022026041,17-06-1983,9728197097,Home,330696,20-02-2026,Pending
CUST20022026042,17-07-1980,6129117185,Car,512453,20-02-2026,Pending
CUST20022026046,02-09-1979,7579910987,Car,622735,20-02-2026,Approved
CUST20022026048,03-07-1976,6206449218,Personal,510558,20-02-2026,Pending
CUST20022026049,04-02-1976,6254891209,Home,588447,20-02-2026,Pending
CUST20022026050,29-11-1978,7025095583,Car,656514,20-02-2026,Rejected
CUST20022026051,19-11-1982,6481601346,Personal,800442,20-02-2026,Pending
CUST20022026052,15-06-1970,8980289922,Car,103567,20-02-2026,Pending
CUST20022026053,07-04-1978,8952301662,Home,467455,20-02-2026,Approved
CUST20022026056,19-01-1972,7966254075,Personal,314914,20-02-2026,Pending
CUST20022026057,27-03-1981,8087767815,Personal,716953,20-02-2026,Pending
CUST20022026062,27-03-1987,6841834616,Car,159920,20-02-2026,Rejected
CUST20022026064,31-03-1986,8069811499,Personal,164643,20-02-2026,Rejected
CUST20022026066,21-04-1981,9650249205,Home,746692,20-02-2026,Rejected
CUST20022026068,06-12-1984,6880487142,Personal,720642,20-02-2026,Pending
CUST20022026070,02-11-1993,7351050158,Car,538022,20-02-2026,Approved
CUST20022026072,28-08-1987,7564290529,Home,386220,20-02-2026,Approved
CUST20022026075,01-05-1991,9671131632,Car,737585,20-02-2026,Approved
CUST20022026078,26-12-1988,6326023357,Personal,532274,20-02-2026,Pending
CUST20022026088,20-07-1989,8030777660,Personal,860385,20-02-2026,Rejected
CUST20022026089,07-08-2001,7997288568,Car,755069,20-02-2026,Approved
CUST20022026091,03-05-1998,7834064810,Personal,649333,20-02-2026,Approved
CUST20022026097,03-08-1998,7060073082,Personal,343461,20-02-2026,Rejected
CUST20022026098,23-11-1984,8046340168,Personal,901228,20-02-2026,Pending
CUST20022026099,20-10-1984,8872781248,Car,104049,20-02-2026,Pending
