customer_id,dob,phone,loan_type,loan_amount,application_date,status
CUST20022026002,10-06-1991,6905346255,Personal,863598,20-02-2026,Pending
CUST20022026004,27-03-1994,6148755916,Personal,642396,20-02-2026,Rejected
CUST20022026006,11-07-1993,6374377946,Car,697684,20-02-2026,Approved
CUST20022026008,27-04-1988,8391218995,Home,642341,20-02-2026,Rejected
CUST20022026009,28-11-1984,8920841866,Personal,861303,20-02-2026,Rejected
CUST20022026012,27-09-1980,7327162303,Personal,302713,20-02-2026,Approved
CUST20022026014,09-11-1996,7903048840,Home,822676,20-02-2026,Pending
CUST20022026015,14-05-1980,8622568726,Car,692057,20-02-2026,Pending
CUST20022026016,28-08-1987,7703976755,Car,303095,20-02-2026,Rejected
CUST20022026017,08-07-1982,9454990972,Home,192560,20-02-2026,Rejected
CUST20022026018,08-06-1985,8445076777,Home,425146,20-02-2026,Rejected
CUST20022026020,16-06-1985,6090476802,Home,636637,20-02-2026,Pending
CUST20022026021,23-02-1979,8056381175,Home,496909,20-02-2026,Rejected
CUST20022026028,29-01-2000,8468593989,Home,174136,20-02-2026,Approved
CUST20022026030,04-11-1989,9063523861,Home,456850,20-02-2026,Rejected
CUST20022026033,02-07-1973,9010020728,Car,535943,20-02-2026,Rejected
CUST20022026035,26-10-1996,6439392911,Home,410350,20-02-2026,Rejected
CUST20022026037,25-06-1972,8723322191,Personal,610291,20-02-2026,Rejected
CUST20022026038,18-12-1990,9827810716,Home,668035,20-02-2026,Pending
CUST20022026041,07-09-1997,6664345367,Personal,960686,20-02-2026,Pending
CUST20022026042,17-10-2000,9384746810,Personal,802030,20-02-2026,Approved
CUST20022026045,12-06-1977,9175580272,Home,927186,20-02-2026,Rejected
CUST20022026051,30-03-1991,6524965040,Personal,666383,20-02-2026,Approved
CUST20022026052,17-09-1984,8935923116,Home,488885,20-02-2026,Pending
CUST20022026056,11-06-1997,7561992592,Home,574976,20-02-2026,Rejected
CUST20022026058,22-10-1994,7408829127,Home,417186,20-02-2026,Rejected
CUST20022026062,11-10-1976,9378267369,Car,726983,20-02-2026,Approved
CUST20022026067,08-04-1981,7045683672,Home,577956,20-02-2026,Approved
CUST20022026068,08-04-1988,7526523047,Personal,939707,20-02-2026,Pending
CUST20022026069,11-04-1984,7621375139,Home,690871,20-02-2026,Approved
CUST20022026070,11-12-1983,8243065923,Personal,492672,20-02-2026,Rejected
CUST20022026075,08-02-1970,7906218873,Car,332511,20-02-2026,Approved
CUST20022026076,30-10-1976,7318147634,Car,223076,20-02-2026,Rejected
CUST20022026077,06-10-1984,6925712193,Home,222326,20-02-2026,Approved
CUST20022026082,03-10-1972,9190906107,Home,318465,20-02-2026,Pending
CUST20022026083,18-11-1993,8600579546,Car,830809,20-02-2026,Rejected
CUST20022026084,15-10-2000,9331822645,Car,773104,20-02-2026,Pending
CUST20022026085,25-07-1987,8305297659,Home,115613,20-02-2026,Pending
CUST20022026087,18-07-1984,7618301622,Personal,389056,20-02-2026,Pending
CUST20022026090,22-02-1995,6697923647,Home,991332,20-02-2026,Approved
CUST20022026091,11-06-2001,7360587194,Home,709686,20-02-2026,Rejected
CUST20022026094,29-07-1980,9951101354,Home,218479,20-02-2026,Pending
CUST20022026097,09-05-2001,9999804820,Personal,720856,20-02-2026,Pending
CUST20022026098,23-12-1971,9548281166,Car,624124,20-02-2026,Pending
CUST20022026099,22-09-1995,6029982602,Home,337015,20-02-2026,Approved
CUST20022026100,31-03-1977,9044832391,Home,557242,20-02-2026,Rejected
