customer_id,name,dob,phone,email,address,create_tsp
CUS20260309_00001,Suresh Khan,1992-09-27,8510617909,suresh.khan1@bank.com,"Pimpri, Pune",2026-03-09 11:19:02
CUS20260309_00002,Fatima Chopra,1982-07-16,8985376325,fatima.chopra2@bank.com,"Kothrud, Pune",2026-03-09 11:19:02
CUS20260309_00003,Anil Gupta,1978-04-07,6178601749,anil.gupta3@bank.com,"Chinchwad, Pune",2026-03-09 11:19:02
CUS20260309_00004,Fatima Iyer,2002-03-02,6535602581,fatima.iyer4@bank.com,"Wakad, Pune",2026-03-09 11:19:02
CUS20260309_00005,Suresh Bose,2002-04-27,8870572975,suresh.bose5@bank.com,"Viman Nagar, Pune",2026-03-09 11:19:02
CUS20260309_00006,Zara Chopra,1994-03-03,6532364512,zara.chopra6@bank.com,"Kothrud, Pune",2026-03-09 11:19:02
CUS20260309_00007,Isha Patel,1973-10-08,9326791255,isha.patel7@bank.com,"Aundh, Pune",2026-03-09 11:19:02
CUS20260309_00008,Lakshmi Joshi,1974-07-13,9904333665,lakshmi.joshi8@bank.com,"Kothrud, Pune",2026-03-09 11:19:02
CUS20260309_00009,Anil Iyer,1971-07-23,6145892971,anil.iyer9@bank.com,"Pimpri, Pune",2026-03-09 11:19:02
CUS20260309_00010,Anil Bhatt,1977-10-15,9888030956,anil.bhatt10@bank.com,"Hinjewadi, Pune",2026-03-09 11:19:02
CUS20260309_00011,Zara Patel,1966-07-16,8753792998,zara.patel11@bank.com,"Aundh, Pune",2026-03-09 11:19:02
CUS20260309_00012,Suresh Verma,1991-05-20,6887686142,suresh.verma12@bank.com,"Wakad, Pune",2026-03-09 11:19:02
CUS20260309_00013,Rani Singh,1976-03-11,8067722259,rani.singh13@bank.com,"Pimpri, Pune",2026-03-09 11:19:02
CUS20260309_00014,Rohan Chopra,1979-08-12,7716885956,rohan.chopra14@bank.com,"Shivaji Nagar, Pune",2026-03-09 11:19:02
CUS20260309_00015,Anil Gupta,1970-05-12,8969589160,anil.gupta15@bank.com,"Pimpri, Pune",2026-03-09 11:19:02
CUS20260309_00016,Fatima Joshi,1982-05-17,9135439707,fatima.joshi16@bank.com,"Chinchwad, Pune",2026-03-09 11:19:02
CUS20260309_00017,Rani Khan,2005-07-11,6194186225,rani.khan17@bank.com,"Kothrud, Pune",2026-03-09 11:19:02
CUS20260309_00018,Priya Bhatt,1996-11-04,7430340463,priya.bhatt18@bank.com,"Baner, Pune",2026-03-09 11:19:02
CUS20260309_00019,Nabil Verma,1973-03-28,6828986276,nabil.verma19@bank.com,"Aundh, Pune",2026-03-09 11:19:02
CUS20260309_00020,Rohan Iyer,1992-01-23,9335928303,rohan.iyer20@bank.com,"Kothrud, Pune",2026-03-09 11:19:02
CUS20260309_00021,Neha Patel,1980-10-04,7873550004,neha.patel21@bank.com,"Shivaji Nagar, Pune",2026-03-09 11:19:02
CUS20260309_00022,Neha Khan,2002-04-04,9075037878,neha.khan22@bank.com,"Chinchwad, Pune",2026-03-09 11:19:02
CUS20260309_00023,Rahul Sharma,1994-06-23,9991497221,rahul.sharma23@bank.com,"Baner, Pune",2026-03-09 11:19:02
CUS20260309_00024,Lakshmi Roy,1976-12-22,9294372719,lakshmi.roy24@bank.com,"Hinjewadi, Pune",2026-03-09 11:19:02
CUS20260309_00025,Amit Roy,1967-05-22,6011928391,amit.roy25@bank.com,"Aundh, Pune",2026-03-09 11:19:02
