account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260316_00001,CUS20260316_00001,6406257641,BR106,Current,2026-03-16 08:15:39
ACC20260316_00002,CUS20260316_00002,6610976387,BR107,Savings,2026-03-16 08:15:39
ACC20260316_00003,CUS20260316_00003,8625099535,BR107,Savings,2026-03-16 08:15:39
ACC20260316_00004,CUS20260316_00004,2114990720,BR102,Savings,2026-03-16 08:15:39
ACC20260316_00005,CUS20260316_00005,5984953842,BR109,Current,2026-03-16 08:15:39
ACC20260316_00006,CUS20260316_00006,7803369832,BR107,Current,2026-03-16 08:15:39
ACC20260316_00007,CUS20260316_00007,4266722985,BR110,Savings,2026-03-16 08:15:39
ACC20260316_00008,CUS20260316_00008,5318453477,BR109,Savings,2026-03-16 08:15:39
ACC20260316_00009,CUS20260316_00009,2040177901,BR101,Current,2026-03-16 08:15:39
ACC20260316_00010,CUS20260316_00010,2723062928,BR103,Current,2026-03-16 08:15:39
ACC20260316_00011,CUS20260316_00011,5558801478,BR105,Savings,2026-03-16 08:15:39
ACC20260316_00012,CUS20260316_00012,9881517498,BR108,Current,2026-03-16 08:15:39
ACC20260316_00013,CUS20260316_00013,2536790443,BR107,Current,2026-03-16 08:15:39
ACC20260316_00014,CUS20260316_00014,1438094934,BR101,Current,2026-03-16 08:15:39
ACC20260316_00015,CUS20260316_00015,3453984900,BR104,Current,2026-03-16 08:15:39
ACC20260316_00016,CUS20260316_00016,5979555860,BR103,Current,2026-03-16 08:15:39
ACC20260316_00017,CUS20260316_00017,9411147769,BR106,Current,2026-03-16 08:15:39
ACC20260316_00018,CUS20260316_00018,1144879213,BR103,Savings,2026-03-16 08:15:39
ACC20260316_00019,CUS20260316_00019,3246441222,BR101,Savings,2026-03-16 08:15:39
ACC20260316_00020,CUS20260316_00020,7666414833,BR104,Savings,2026-03-16 08:15:39
ACC20260316_00021,CUS20260316_00021,1618294908,BR109,Current,2026-03-16 08:15:39
ACC20260316_00022,CUS20260316_00022,7958735963,BR110,Savings,2026-03-16 08:15:39
ACC20260316_00023,CUS20260316_00023,6436656617,BR107,Current,2026-03-16 08:15:39
ACC20260316_00024,CUS20260316_00024,1484351288,BR109,Current,2026-03-16 08:15:39
ACC20260316_00025,CUS20260316_00025,5326475231,BR107,Current,2026-03-16 08:15:39
ACC20260316_00026,CUS20260316_00026,5589644583,BR108,Savings,2026-03-16 08:15:39
ACC20260316_00027,CUS20260316_00027,2452957828,BR102,Current,2026-03-16 08:15:39
ACC20260316_00028,CUS20260316_00028,4084252302,BR101,Current,2026-03-16 08:15:39
ACC20260316_00029,CUS20260316_00029,5602364719,BR109,Current,2026-03-16 08:15:39
ACC20260316_00030,CUS20260316_00030,9476806309,BR105,Savings,2026-03-16 08:15:39
ACC20260316_00031,CUS20260316_00031,8897710640,BR105,Savings,2026-03-16 08:15:39
ACC20260316_00032,CUS20260316_00032,3113238485,BR106,Savings,2026-03-16 08:15:39
ACC20260316_00033,CUS20260316_00033,7142766969,BR103,Current,2026-03-16 08:15:39
ACC20260316_00034,CUS20260316_00034,6731090559,BR108,Current,2026-03-16 08:15:39
ACC20260316_00035,CUS20260316_00035,4185110769,BR101,Savings,2026-03-16 08:15:39
