account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260315_00001,CUS20260315_00001,5520939078,BR107,Savings,2026-03-15 08:13:05
ACC20260315_00002,CUS20260315_00002,3611627450,BR109,Savings,2026-03-15 08:13:05
ACC20260315_00003,CUS20260315_00003,3089389743,BR110,Current,2026-03-15 08:13:05
ACC20260315_00004,CUS20260315_00004,6946019044,BR110,Savings,2026-03-15 08:13:05
ACC20260315_00005,CUS20260315_00005,1384849629,BR108,Savings,2026-03-15 08:13:05
ACC20260315_00006,CUS20260315_00006,5594822576,BR101,Current,2026-03-15 08:13:05
ACC20260315_00007,CUS20260315_00007,8318900115,BR109,Savings,2026-03-15 08:13:05
ACC20260315_00008,CUS20260315_00008,1773398793,BR109,Savings,2026-03-15 08:13:05
ACC20260315_00009,CUS20260315_00009,8268762812,BR101,Savings,2026-03-15 08:13:05
ACC20260315_00010,CUS20260315_00010,2601782425,BR102,Savings,2026-03-15 08:13:05
ACC20260315_00011,CUS20260315_00011,5539761521,BR101,Savings,2026-03-15 08:13:05
ACC20260315_00012,CUS20260315_00012,4544111377,BR110,Savings,2026-03-15 08:13:05
ACC20260315_00013,CUS20260315_00013,2728622715,BR109,Current,2026-03-15 08:13:05
ACC20260315_00014,CUS20260315_00014,6946147426,BR101,Current,2026-03-15 08:13:05
ACC20260315_00015,CUS20260315_00015,5323985394,BR104,Current,2026-03-15 08:13:05
ACC20260315_00016,CUS20260315_00016,6888799665,BR109,Current,2026-03-15 08:13:05
ACC20260315_00017,CUS20260315_00017,4665869852,BR110,Current,2026-03-15 08:13:05
ACC20260315_00018,CUS20260315_00018,2426866180,BR106,Current,2026-03-15 08:13:05
ACC20260315_00019,CUS20260315_00019,3487734871,BR102,Current,2026-03-15 08:13:05
ACC20260315_00020,CUS20260315_00020,9206674313,BR108,Current,2026-03-15 08:13:05
ACC20260315_00021,CUS20260315_00021,2842310447,BR103,Current,2026-03-15 08:13:05
ACC20260315_00022,CUS20260315_00022,8589654082,BR106,Current,2026-03-15 08:13:05
ACC20260315_00023,CUS20260315_00023,9368104784,BR104,Savings,2026-03-15 08:13:05
ACC20260315_00024,CUS20260315_00024,7107053434,BR107,Savings,2026-03-15 08:13:05
ACC20260315_00025,CUS20260315_00025,4798855446,BR105,Savings,2026-03-15 08:13:05
ACC20260315_00026,CUS20260315_00026,5573868726,BR102,Savings,2026-03-15 08:13:05
ACC20260315_00027,CUS20260315_00027,2036416012,BR107,Current,2026-03-15 08:13:05
ACC20260315_00028,CUS20260315_00028,8272641924,BR102,Current,2026-03-15 08:13:05
ACC20260315_00029,CUS20260315_00029,5568916707,BR106,Savings,2026-03-15 08:13:05
ACC20260315_00030,CUS20260315_00030,5701205991,BR103,Savings,2026-03-15 08:13:05
ACC20260315_00031,CUS20260315_00031,4555561817,BR106,Savings,2026-03-15 08:13:05
ACC20260315_00032,CUS20260315_00032,1460760408,BR109,Savings,2026-03-15 08:13:05
ACC20260315_00033,CUS20260315_00033,4879001612,BR109,Current,2026-03-15 08:13:05
ACC20260315_00034,CUS20260315_00034,3311967314,BR101,Savings,2026-03-15 08:13:05
ACC20260315_00035,CUS20260315_00035,8868516861,BR107,Savings,2026-03-15 08:13:05
ACC20260315_00036,CUS20260315_00036,7597077426,BR109,Savings,2026-03-15 08:13:05
